Software,RP Name,Software Type,Software Class,Research Area,Research Discipline,Software Description,Software's Web Page,Software Documentation,Example Software Use,RP Software Documentation,Version Info
pyspoa,Faster,,,,,,,,,Faster: https://hprc.tamu.edu/software/faster/,Faster: 0.0.4-Python-3.7.4
pystan,Faster,,,,,,,,,Faster: https://hprc.tamu.edu/software/faster/,Faster: 2.19.1.1
pytensor,Aces,,,,,Optimizing compiler for evaluating mathematical expressions on CPUs and GPUs,,,,Aces: https://hprc.tamu.edu/software/aces/,Aces: 2.17.1
pytesseract,Aces,Python Library,,,,"Python-tesseract is an optical character recognition (OCR) tool for python. That is, it will recognize and “read” the text embedded in images. Python-tesseract is a wrapper for Google’s Tesseract-OCR Engine. It is also useful as a stand-alone invocation script to tesseract, as it can read all image types supported by the Pillow and Leptonica imaging libraries, including jpeg, png, gif, bmp, tiff, and others. 
Description Source: https://pypi.org/project/pytesseract/",https://github.com/madmaze/pytesseract,https://github.com/madmaze/pytesseract/blob/master/README.rst#usage,"https://nanonets.com/blog/ocr-with-tesseract/ 
https://pyimagesearch.com/2017/07/10/using-tesseract-ocr-python/ ",Aces: https://hprc.tamu.edu/software/aces/,Aces: 0.3.10
pytest,"Aces, Faster",Python Library,,,,"The pytest framework makes it easy to write small, readable tests, and can scale to support complex functional testing for applications and libraries. 
Description Source: https://docs.pytest.org/en/8.0.x/",https://docs.pytest.org/en/8.0.x/,https://docs.pytest.org/en/8.0.x/how-to/index.html,,"Aces: https://hprc.tamu.edu/software/aces/ 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 7.2.2
Faster: 7.1.3, 7.2.2"
pytest-flakefinder,"Aces, Faster",,,,,Runs tests multiple times to expose flakiness.,,,,"Aces: https://hprc.tamu.edu/software/aces/ 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 1.1.0
Faster: 1.1.0"
pytest-rerunfailures,"Aces, Faster",,,,,pytest plugin to re-run tests to eliminate flaky failures.,,,,"Aces: https://hprc.tamu.edu/software/aces/ 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 11.1, 12.0
Faster: 11.1, 12.0"
pytest-shard,"Aces, Faster",,,,,"pytest plugin to support parallelism across multiple machines. Shards tests based on a hash of their test name enabling easy parallelism across machines, suitable for a wide variety of continuous integration services. Tests are split at the finest level of granularity, individual test cases, enabling parallelism even if all of your tests are in a single file (or even single parameterized test method).",,,,"Aces: https://hprc.tamu.edu/software/aces/ 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 0.1.2
Faster: 0.1.2"
pytest-xdist,"Aces, Faster",Python Library,,,,"The pytest-xdist plugin extends pytest with new test execution modes, the most used being distributing tests across multiple CPUs to speed up test execution. 
Description Source: https://pypi.org/project/pytest-xdist/",https://github.com/pytest-dev/pytest-xdist,https://pytest-xdist.readthedocs.io/en/stable/,"https://pytest-xdist.readthedocs.io/en/stable/how-to.html 
https://github.com/pytest-dev/pytest-xdist/blob/master/example/boxed.txt ","Aces: https://hprc.tamu.edu/software/aces/ 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 2.3.0, 2.5.0
Faster: 2.3.0, 2.5.0"
pythia,Aces,Python Library,,,,"PYTHIA is a program for the generation of high-energy physics collision events, i.e. for the description of collisions at high energies between electrons, protons, photons and heavy nuclei. It contains theory and models for a number of physics aspects, including hard and soft interactions, parton distributions, initial- and final-state parton showers, multiparton interactions, fragmentation and decay. It is largely based on original research, but also borrows many formulae and other knowledge from the literature. As such it is categorized as a general-purpose Monte Carlo event generator. 
Description Source: https://pythia.org/",https://www.pythia.org/,https://pythia.org/latest-manual/Welcome.html,"https://www.pythia.org/download/pdf/pythia8100.pdf 
https://pythia.org/latest-manual/SampleMainPrograms.html 
https://pythia.org/latest-manual/ExampleKeywords.html 
https://www.pythia.org/download/pdf/worksheet8200.pdf ",Aces: https://hprc.tamu.edu/software/aces/,Aces: 8.309
python,"Aces, Anvil, Bridges-2, Darwin, Delta, Expanse, Faster, Kyric, Ookami, Stampede3",,Programming Language,,,"Python is an interpreted, interactive, object-oriented programming language. It incorporates modules, exceptions, dynamic typing, very high level dynamic data types, and classes. It supports multiple programming paradigms beyond object-oriented programming, such as procedural and functional programming. Python combines remarkable power with very clear syntax. It has interfaces to many system calls and libraries, as well as to various window systems, and is extensible in C or C++. It is also usable as an extension language for applications that need a programmable interface. Finally, Python is portable: it runs on many Unix variants including Linux and macOS, and on Windows. 
Description Source: https://docs.python.org/3/faq/general.html#what-is-python",https://www.python.org/,https://docs.python.org,"https://docs.python.org/tutorial/ 
https://www.learnpython.org/ 
https://www.w3schools.com/python/ 
https://realpython.com/ 
https://www.python.org/doc/essays/","Aces: https://hprc.tamu.edu/software/aces/ 
Anvil: https://www.rcac.purdue.edu/software/python 
Bridges-2: https://www.psc.edu/resources/software/python 
Delta: https://docs.ncsa.illinois.edu/systems/delta/en/latest/user_guide/software.html 
Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules 
Faster: https://hprc.tamu.edu/software/faster/ 
Ookami: https://www.stonybrook.edu/commcms/ookami/support/faq/software_on_ookami 
Stampede3: https://tacc.utexas.edu/use-tacc/software-list/","Aces: 2.7.18-Bare, 2.7.18, 3.8.6, 3.9.5-Bare, 3.9.5, 3.9.6-Bare, 3.9.6, 3.10.4-Bare, 3.10.4, ...
Anvil: 3.9.5
Bridges-2: 2.7.18, 3.8.6
Delta: 3.6.8, 3.7.17, 3.8.18, 3.9.18, ...
Expanse: Uasyy5N, 7Zdjza7
Faster: 2.7.15, 2.7.16, 2.7.18-Bare, 2.7.18, 3.7.4, 3.8.2, 3.8.6, 3.9.5-Bare, 3.9.5, ..."
python_cacher,Stampede3,,,,,"The functools module in Python is for higher-order functions such as chache(): functions that act on or return other functions. In general, any callable object can be treated as a function for the purposes of this module. 
Description Source: https://docs.python.org/3/library/functools.html#module-functools",https://github.com/TACC/python_cacher,https://github.com/TACC/python_cacher,https://docs.tacc.utexas.edu/tutorials/managingio/#python,Stampede3: https://tacc.utexas.edu/use-tacc/software-list/,
python-bundle-pypi,"Aces, Faster",,,,,Bundle of Python packages from PyPI,,,,"Aces: https://hprc.tamu.edu/software/aces/ 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 2023.06, 2023.10
Faster: 2023.06"
python-isal,"Aces, Faster",,,,,Faster zlib and gzip compatible compression and decompression by providing python bindings for the isa-l library.,,,,"Aces: https://hprc.tamu.edu/software/aces/ 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 0.11.1
Faster: 0.11.0, 0.11.1"
python-parasail,Faster,,,,,,,,,Faster: https://hprc.tamu.edu/software/faster/,Faster: 1.2-Python-3.7.4
python3,Ookami,,,,,"Python is an interpreted, interactive, object-oriented programming language. It incorporates modules, exceptions, dynamic typing, very high level dynamic data types, and classes. It supports multiple programming paradigms beyond object-oriented programming, such as procedural and functional programming. Python combines remarkable power with very clear syntax. It has interfaces to many system calls and libraries, as well as to various window systems, and is extensible in C or C++. It is also usable as an extension language for applications that need a programmable interface. Finally, Python is portable: it runs on many Unix variants including Linux and macOS, and on Windows. 
Description Source: https://docs.python.org/3/faq/general.html#what-is-python",https://www.python.org/,https://docs.python.org,"https://docs.python.org/tutorial/ 
https://www.learnpython.org/ 
https://www.w3schools.com/python/ 
https://realpython.com/ 
https://www.python.org/doc/essays/",Ookami: https://www.stonybrook.edu/commcms/ookami/support/faq/software_on_ookami,
python37,Ookami,,,,,"Python is an interpreted, interactive, object-oriented programming language. It incorporates modules, exceptions, dynamic typing, very high level dynamic data types, and classes. It supports multiple programming paradigms beyond object-oriented programming, such as procedural and functional programming. Python combines remarkable power with very clear syntax. It has interfaces to many system calls and libraries, as well as to various window systems, and is extensible in C or C++. It is also usable as an extension language for applications that need a programmable interface. Finally, Python is portable: it runs on many Unix variants including Linux and macOS, and on Windows. 
Description Source: https://docs.python.org/3/faq/general.html#what-is-python",https://www.python.org/,https://docs.python.org,"https://docs.python.org/tutorial/ 
https://www.learnpython.org/ 
https://www.w3schools.com/python/ 
https://realpython.com/ 
https://www.python.org/doc/essays/",Ookami: https://www.stonybrook.edu/commcms/ookami/support/faq/software_on_ookami,
pytorch,"Aces, Anvil, Faster, Ookami",Library,"Ai, Machine Learning",,,"PyTorch is an optimized tensor library for deep learning using GPUs and CPUs. 
Description Source: https://pytorch.org/docs/stable/index.html",https://pytorch.org/,https://pytorch.org/docs/stable/,"https://pytorch.org/get-started/locally/ 
https://pytorch.org/tutorials/ 
https://pytorch.org/tutorials/beginner/basics/ 
https://pytorch.org/tutorials/recipes/recipes_index.html 
https://pytorch.org/tutorials/beginner/introyt.html ","Aces: https://hprc.tamu.edu/software/aces/ 
Anvil: https://www.rcac.purdue.edu/software/pytorch 
Faster: https://hprc.tamu.edu/software/faster/ 
Ookami: https://www.stonybrook.edu/commcms/ookami/support/faq/software_on_ookami","Aces: 1.10.0-Cuda-11.3.1, 1.12.0-Cuda-11.7.0, 1.12.0, 1.12.1-Cuda-11.3.1, 1.12.1-Cuda-11.7.0, 1.13.1-Cuda-11.7.0, ...
Anvil: 20.06-Py3, 20.11-Py3, 20.12-Py3, 21.06-Py3, 21.09-Py3
Faster: 1.7.1, 1.8.1, 1.9.0-Imkl, 1.9.0, 1.10.0-Cuda-11.3.1, 1.10.0, 1.12.1-Cuda-11.3.1, 1.12.1, ..."
pytorch-geometric,"Aces, Faster",Python Library,,,,"PyG (PyTorch Geometric) is a library built upon  PyTorch to easily write and train Graph Neural Networks (GNNs) for a wide range of applications related to structured data. 
Description Source: https://github.com/pyg-team/pytorch_geometric",https://pyg.org/,https://pytorch-geometric.readthedocs.io/en/latest/,"https://pytorch-geometric.readthedocs.io/en/latest/get_started/introduction.html 
https://pytorch-geometric.readthedocs.io/en/latest/get_started/colabs.html 
https://pytorch-geometric.readthedocs.io/en/latest/tutorial/gnn_design.html 
https://pytorch-geometric.readthedocs.io/en/latest/cheatsheet/gnn_cheatsheet.html ","Aces: https://hprc.tamu.edu/software/aces/ 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 2.1.0-Pytorch-1.12.0-Cuda-11.7.0
Faster: 2.0.1-Pytorch-1.9.0"
pytorch-lightning,"Aces, Faster",Python Library,,,,"PyTorch Lightning is the deep learning framework for professional AI researchers and machine learning engineers who need maximal flexibility without sacrificing performance at scale. Lightning evolves with you as your projects go from idea to paper/production. 
Description Source: https://lightning.ai/docs/pytorch/stable/",https://lightning.ai/ ,https://lightning.ai/docs/pytorch/stable/,"https://lightning.ai/docs/pytorch/stable/starter/introduction.html 
https://lightning.ai/docs/pytorch/stable/expertise_levels.html 
https://lightning.ai/docs/pytorch/stable/tutorials.html 
https://lightning.ai/docs/pytorch/stable/common/ 
https://lightning.ai/docs/examples/process-dataset ","Aces: https://hprc.tamu.edu/software/aces/ 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 1.7.7-Cuda-11.7.0, 1.8.4
Faster: 1.5.9-Cuda-11.3.1, 1.5.9, 1.5.10-Cuda-11.3.1"
pytorch3d,Faster,,,,,,,,,Faster: https://hprc.tamu.edu/software/faster/,Faster: 0.4.0-Pytorch-1.7.1
pyvcf3,Anvil,,,,,PyVCF3 has been created because the Official PyVCF repository is no longer maintained and do not accept any pull requests.,,,,Anvil: https://www.rcac.purdue.edu/software/pyvcf3,Anvil: 1.0.3
pyyaml,"Aces, Faster",Python Library,,,,"YAML is a data serialization format designed for human readability and interaction with scripting languages. PyYAML is a YAML parser and emitter for Python. 
Description Source: https://pypi.org/project/PyYAML/",https://pyyaml.org/,https://pyyaml.org/wiki/PyYAMLDocumentation,"https://pyyaml.org/wiki/PyYAMLDocumentation#tutorial 
https://zetcode.com/python/yaml/ 
https://realpython.com/python-yaml/ ","Aces: https://hprc.tamu.edu/software/aces/ 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 5.3.1, 5.4.1, 6.0
Faster: 5.1.2, 5.3, 5.3.1, 5.4.1, 6.0"
pyzmq,Aces,,,,,Python bindings for ZeroMQ,,,,Aces: https://hprc.tamu.edu/software/aces/,Aces: 25.1.1
qca,"Aces, Faster",,,,,"Taking a hint from the similarly-named Java Cryptography Architecture, QCA aims to provide a straightforward and cross-platform crypto API, using Qt datatypes and conventions. QCA separates the API from the implementation, using plugins known as Providers. The advantage of this model is to allow applications to avoid linking to or explicitly depending on any particular cryptographic library. This allows one to easily change or upgrade crypto implementations without even needing to recompile the application! QCA should work everywhere Qt does, including Windows/Unix/MacOSX.",,,,"Aces: https://hprc.tamu.edu/software/aces/ 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 2.3.5
Faster: 2.3.5"
qcat,Faster,,,,,,,,,Faster: https://hprc.tamu.edu/software/faster/,Faster: 1.1.0-Python-3.7.4
qchem,"Expanse, Faster",,,,Chemistry,"Q-Chem is an ab initio quantum chemistry software package for fast and accurate simulations of molecular systems, including electronic and molecular structure, reactivities, properties, and structure. 
Description Source: https://www.q-chem.com/",https://www.q-chem.com/ ,https://manual.q-chem.com/latest/,"https://www.q-chem.com/learn/start/ 
https://www.q-chem.com/learn/ 
https://www.youtube.com/user/QChemSoftware ","Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules 
Faster: https://hprc.tamu.edu/software/faster/","Expanse: Rytxnwj
Faster: 5.3.2-Openmp, 5.4.0-Openmp"
qd,Ookami,,,,,"QD is a double-double and quad-double package for Fortran and C++. It includes numeric types of twice the precision of the IEEE double (32 digits), and four times the precision of the IEEE double (64 digits), along with basic arithemtic operations and common transcendental functions. 
Description Source: https://github.com/highprecision/QD/blob/main/README",https://github.com/highprecision/QD,https://www.davidhbailey.com/dhbpapers/qd.pdf,https://github.com/highprecision/QD/blob/main/README ,Ookami: https://www.stonybrook.edu/commcms/ookami/support/faq/software_on_ookami,
qe,Stampede3,,,,,"Quantum ESPRESSO is an integrated suite of Open-Source computer codes for electronic-structure calculations and materials modeling at the nanoscale. It is based on density-functional theory, plane waves, and pseudopotentials. 
Description Source: https://www.quantum-espresso.org/",https://www.quantum-espresso.org/,https://www.quantum-espresso.org/documentation/,"https://www.quantum-espresso.org/tutorials/ 
https://www.quantum-espresso.org/Doc/user_guide/node15.html ",Stampede3: https://tacc.utexas.edu/use-tacc/software-list/,
qemu,Anvil,,Bioinformatics,Sciences,Biology,"QEMU is a generic and open source machine emulator and virtualizer. 
Description Source: https://www.qemu.org/",https://www.qemu.org/,https://www.qemu.org/docs/master/,,Anvil: https://www.rcac.purdue.edu/software/qemu,"Anvil: 4.1.1, 6.2.0"
qgis,"Aces, Faster",,,,,QGIS is a user friendly Open Source Geographic Information System (GIS),,,,"Aces: https://hprc.tamu.edu/software/aces/ 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 3.28.1
Faster: 3.28.1"
qhull,"Aces, Expanse, Faster",,,,,"Qhull computes the convex hull, Delaunay triangulation, Voronoi diagram, halfspace intersection about a point, furthest-site Delaunay triangulation, and furthest-site Voronoi diagram. The source code runs in 2-d, 3-d, 4-d, and higher dimensions. Qhull implements the Quickhull algorithm for computing the convex hull. It handles roundoff errors from floating point arithmetic. It computes volumes, surface areas, and approximations to the convex hull. 
Description Source: http://www.qhull.org/",http://www.qhull.org/,http://www.qhull.org/html/,"http://www.qhull.org/html/#description 
http://www.qhull.org/html/qh-faq.htm 
https://github.com/qhull/qhull ","Aces: https://hprc.tamu.edu/software/aces/ 
Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 2020.2
Expanse: D7F45V7
Faster: 2020.2"
qiime2,"Aces, Anvil, Faster",,Bioinformatics,Sciences,Biology,"QIIME 2™ is a next-generation microbiome bioinformatics platform that is extensible, free, open source, and community developed. 
Description Source: https://qiime2.org/",https://qiime2.org/,https://docs.qiime2.org/2024.2/,"https://docs.qiime2.org/2024.2/getting-started/ 
https://docs.qiime2.org/2024.2/tutorials/ 
https://docs.qiime2.org/2024.2/jupyter-book-tutorials/ ","Aces: https://hprc.tamu.edu/software/aces/ 
Anvil: https://www.rcac.purdue.edu/software/qiime2 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 2022.11
Anvil: 2021.2, 2022.2, 2022.8, 2022.11, 2023.2, 2023.5, 2023.7
Faster: 2022.8"
qjson,Aces,,,,,QJson is a Qt-based library that maps JSON data to QVariant objects and vice versa.,,,,Aces: https://hprc.tamu.edu/software/aces/,Aces: 0.9.0
qrupdate,"Expanse, Faster",,,,,,,,,"Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules 
Faster: https://hprc.tamu.edu/software/faster/","Expanse: H2H5Pdu
Faster: 1.1.2"
qscintilla,"Aces, Faster",,,,,QScintilla is a port to Qt of Neil Hodgson's Scintilla C++ editor control,,,,"Aces: https://hprc.tamu.edu/software/aces/ 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 2.11.6
Faster: 2.11.6"
qt,"Anvil, Expanse",,,,,"Qt is a full development framework with tools designed to streamline the creation of applications and user interfaces for desktop, embedded, and mobile platforms. 
Description Source: https://devdocs.io/qt~5.14/",https://www.qt.io/,https://doc.qt.io/,"https://doc.qt.io/qt-6/gettingstarted.html 
https://doc.qt.io/qt-6/qtexamplesandtutorials.html 
https://wiki.qt.io/Main ","Anvil: https://www.rcac.purdue.edu/software/qt 
Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules","Anvil: 5.15.2
Expanse: 5.15.2"
qt5,"Aces, Faster",,,,,"Qt is a full development framework with tools designed to streamline the creation of applications and user interfaces for desktop, embedded, and mobile platforms. 
Description Source: https://devdocs.io/qt~5.14/",https://www.qt.io/,https://doc.qt.io/,"https://doc.qt.io/qt-6/gettingstarted.html 
https://doc.qt.io/qt-6/qtexamplesandtutorials.html 
https://wiki.qt.io/Main ","Aces: https://hprc.tamu.edu/software/aces/ 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 5.15.2, 5.15.5, 5.15.7, 5.15.10
Faster: 5.14.1, 5.14.2, 5.15.2, 5.15.5, 5.15.7"
qt5webkit,"Aces, Faster",,,,,Qt Port of WebKit. WebKit is an open source web browser engine.,https://www.qt.io/,https://doc.qt.io/,"https://doc.qt.io/qt-6/gettingstarted.html 
https://doc.qt.io/qt-6/qtexamplesandtutorials.html 
https://wiki.qt.io/Main ","Aces: https://hprc.tamu.edu/software/aces/ 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 5.212.0-Alpha4
Faster: 5.212.0-Alpha4"
qtkeychain,"Aces, Faster",,,,,Platform-independent Qt API for storing passwords securely.,https://www.qt.io/,https://doc.qt.io/,"https://doc.qt.io/qt-6/gettingstarted.html 
https://doc.qt.io/qt-6/qtexamplesandtutorials.html 
https://wiki.qt.io/Main ","Aces: https://hprc.tamu.edu/software/aces/ 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 0.13.2
Faster: 0.13.2, 0.14.2"
qtlseq,Anvil,,,,,"Bulked segregant analysis, as implemented in QTL-seq (Takagi et al., 2013), is a powerful and efficient method to identify agronomically important loci in crop plants.",,,,Anvil: https://www.rcac.purdue.edu/software/qtlseq,Anvil: 2.2.3
qualimap,Anvil,,,,,Qualimap is a platform-independent application written in Java and R that provides both a Graphical User Inteface (GUI) and a command-line interface to facilitate the quality control of alignment sequencing data and its derivatives like feature counts.,,,,Anvil: https://www.rcac.purdue.edu/software/qualimap,Anvil: 2.2.1
quantum_espresso,Anvil,,,,,,https://www.quantum-espresso.org/,https://www.quantum-espresso.org/documentation/,"https://www.quantum-espresso.org/tutorials/ 
https://www.quantum-espresso.org/Doc/user_guide/node15.html ",Anvil: https://www.rcac.purdue.edu/software/quantum_espresso,"Anvil: V6.6A1, V6.7, V7.1"
quantum-espresso,"Anvil, Expanse, Ookami",Package,"Modeling, Simulation",Sciences,Chemistry,"Quantum Espresso is an integrated suite of Open-Source computer codes for electronic-structure calculations and materials modeling at the nanoscale. It is based on density-functional theory, plane waves, and pseudopotentials. 
Description Source: https://www.quantum-espresso.org/",https://www.quantum-espresso.org/,https://www.quantum-espresso.org/documentation/,"https://www.quantum-espresso.org/tutorials/ 
https://www.quantum-espresso.org/Doc/user_guide/node15.html ","Anvil: https://www.rcac.purdue.edu/software/quantum-espresso 
Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules 
Ookami: https://www.stonybrook.edu/commcms/ookami/support/faq/software_on_ookami","Anvil: 6.7, 7.2
Expanse: Zl3Kj67"
quantumespresso,"Aces, Bridges-2, Faster, Ookami",Package,"Modeling, Simulation",Sciences,Chemistry,"Quantum Espresso is an integrated suite of Open-Source computer codes for electronic-structure calculations and materials modeling at the nanoscale. It is based on density-functional theory, plane waves, and pseudopotentials. 
Description Source: https://www.quantum-espresso.org/",https://www.quantum-espresso.org/,https://www.quantum-espresso.org/documentation/,"https://www.quantum-espresso.org/tutorials/ 
https://www.quantum-espresso.org/Doc/user_guide/node15.html ","Aces: https://hprc.tamu.edu/software/aces/ 
Bridges-2: https://www.psc.edu/resources/software/quantumespresso 
Faster: https://hprc.tamu.edu/software/faster/ 
Ookami: https://www.stonybrook.edu/commcms/ookami/support/faq/software_on_ookami","Aces: 7.1, 7.2
Bridges-2: 6.7-Pgi, 6.7-Intel-Omp, ...
Faster: 6.8"
quast,Anvil,,,,,Quast is Quality Assessment Tool for Genome Assemblies.,,,,Anvil: https://www.rcac.purdue.edu/software/quast,"Anvil: 5.0.2, 5.2.0"
quickmirseq,Anvil,,,,,Quickmirseq is an integrated pipeline for quick and accurate quantification of known miRNAs and isomiRs by jointly processing multiple samples.,,,,Anvil: https://www.rcac.purdue.edu/software/quickmirseq,Anvil: 1.0
qwt,"Aces, Faster",,,,,The Qwt library contains GUI Components and utility classes which are primarily useful for programs with a technical background.,,,,"Aces: https://hprc.tamu.edu/software/aces/ 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 6.2.0
Faster: 6.1.5, 6.2.0"
r,"Aces, Anvil, Darwin, Delta, Expanse, Faster, Jetstream, Kyric, Ookami", ,R Programming Language,,,"R is a language and environment for statistical computing and graphics. 
Description Source: https://www.r-project.org/",https://www.r-project.org/,https://cran.r-project.org/manuals.html,"https://cran.r-project.org/doc/manuals/r-release/R-intro.html 
https://cran.r-project.org/doc/FAQ/R-FAQ.html 
https://www.r-project.org/other-docs.html 
https://www.r-project.org/help.html ","Aces: https://hprc.tamu.edu/software/aces/ 
Anvil: https://www.rcac.purdue.edu/software/r 
Delta: https://docs.ncsa.illinois.edu/systems/delta/en/latest/user_guide/software.html 
Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules 
Faster: https://hprc.tamu.edu/software/faster/ 
Ookami: https://www.stonybrook.edu/commcms/ookami/support/faq/software_on_ookami","Aces: 4.1.0, 4.2.0, 4.2.1-Stub, 4.2.1, 4.2.2, 4.3.1
Anvil: 4.0.5, 4.1.0, 4.1.1
Delta: 4.3.2
Expanse: X5At72Y
Faster: 3.6.3, 4.0.0, 4.0.5, 4.1.0, 4.1.2, 4.2.0, 4.2.1, 4.3.1
Jetstream: 4.2.2"
r_flexiblas,Delta,,,,,,https://github.com/Enchufa2/r-flexiblas,,,Delta: https://docs.ncsa.illinois.edu/systems/delta/en/latest/user_guide/software.html,Delta: 4.3.3
r_tamu,"Aces, Faster",,R Libray,,,"Loading the R module will setup the environment for the base R installation without any additional packages. For the user's convenience, HPRC developed an extension to R called R_tamu which is built on top of R and provides a large number of additionally installed packages not found in the base R version. R_tamu also makes it easy to install personal packages. In addition, R_tamu can also act as an R-project environment manager. 
Description Source: https://hprc.tamu.edu/kb/Software/R/#loading-the-module",https://hprc.tamu.edu/kb/Software/R/#r_tamu,https://hprc.tamu.edu/kb/Software/R-tamu/,https://hprc.tamu.edu/kb/Software/R-tamu/#example,"Aces: https://hprc.tamu.edu/software/aces/ 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 4.2.2
Faster: 4.1.2-Foss-2021B, 4.2.1, 4.3.1"
r-acepack,Expanse,,,,,,,,,Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules,Expanse: 1.4.1-Openblas
r-affy,Expanse,,,,,,,,,Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules,Expanse: 1.62.0-Openblas
r-affyio,Expanse,,,,,,,,,Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules,Expanse: 1.54.0-Openblas
r-annotate,Expanse,,,,,,,,,Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules,Expanse: 1.62.0-Openblas
r-annotationdbi,Expanse,,,,,,,,,Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules,Expanse: 1.46.1-Openblas
r-askpass,Expanse,,,,,,,,,Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules,Expanse: 1.1-Openblas
r-assertthat,Expanse,,,,,,,,,Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules,Expanse: 0.2.1-Openblas
r-backports,Expanse,,,,,,,,,Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules,Expanse: 1.1.4-Openblas
r-base64,Expanse,,,,,,,,,Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules,Expanse: 2.0-Openblas
r-base64enc,Expanse,,,,,,,,,Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules,Expanse: 0.1-3-Openblas
r-beanplot,Expanse,,,,,,,,,Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules,Expanse: 1.2-Openblas
r-bh,Expanse,,,,,,,,,Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules,Expanse: 1.69.0-1-Openblas
r-bibtex,Expanse,,,,,,,,,Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules,Expanse: 0.4.2-Openblas
r-biobase,Expanse,,,,,,,,,Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules,Expanse: 2.44.0-Openblas
r-bioc,Darwin,,,,,,,,,,
r-biocgenerics,Expanse,,,,,,,,,Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules,Expanse: 0.34.0-Openblas
r-biocmanager,Expanse,,,,,,,,,Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules,Expanse: 1.30.10-Openblas
r-biocparallel,Expanse,,,,,,,,,Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules,Expanse: 1.18.1-Openblas
r-biomart,Expanse,,,,,,,,,Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules,Expanse: 2.40.5-Openblas
r-biostrings,Expanse,,,,,,,,,Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules,Expanse: 2.52.0-Openblas
r-bit,Expanse,,,,,,,,,Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules,Expanse: 1.1-14-Openblas
r-bit64,Expanse,,,,,,,,,Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules,Expanse: 0.9-7-Openblas
r-bitops,Expanse,,,,,,,,,Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules,Expanse: 1.0-6-Openblas
r-blob,Expanse,,,,,,,,,Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules,Expanse: 1.2.0-Openblas
r-bumphunter,Expanse,,,,,,,,,Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules,Expanse: 1.26.0-Openblas
r-bundle-bioconductor,Faster,,,,,Bioconductor provides tools for the analysis and coprehension of high-throughput genomic data.,https://bioconductor.org/,https://bioconductor.org/about/,https://bioconductor.org/help/education-training/,Faster: https://hprc.tamu.edu/software/faster/,Faster: 3.14-R-4.1.2
r-cellchat,Anvil,,,,,CellChat: Inference and analysis of cell-cell communication,,,,Anvil: https://www.rcac.purdue.edu/software/r-cellchat,Anvil: 1.5.0
r-checkmate,Expanse,,,,,,,,,Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules,Expanse: 1.9.4-Openblas
