Software,RP Name,Software Type,Software Class,Research Area,Research Discipline,Software Description,Software's Web Page,Software Documentation/Link,Example Software Use (link),Area-specific Examples,Containerized Version of Software,RP Documentations for Software,Pathing
scikit-learn,"aces, faster",Library,AI/ML,,,"Scikit-learn is an open-source machine learning library for Python, known for its simplicity and accessibility. It provides a wide range of supervised and unsupervised learning algorithms, as well as tools for model fitting, data preprocessing, model selection, and evaluation.",https://scikit-learn.org/stable/,https://scikit-learn.org/stable/user_guide.html,"https://scikit-learn.org/stable/getting_started.html , https://scikit-learn.org/stable/tutorial/index.html , https://scikit-learn.org/stable/auto_examples/index.html , https://github.com/scikit-learn/scikit-learn/wiki ",,,,
scipy,faster,Package,Mathematics,,,SciPy is a collection of mathematical algorithms and convenience functions built on NumPy . It adds significant power to Python by providing the user with high-level commands and classes for manipulating and visualizing data. Description Source:https://docs.scipy.org/doc/scipy-1.8.0/tutorial/general.html,https://scipy.org/,https://docs.scipy.org/doc/scipy/reference/,"https://docs.scipy.org/doc/scipy/tutorial/ , https://docs.scipy.org/doc/scipy/notebooks/interp_transition_guide.html , https://www.tutorialspoint.com/scipy/ ",,,,
scipy_tamu,faster,,,,,,,,,,,,
scipy-bundle,"aces, faster",,,,,SciPy is a collection of mathematical algorithms and convenience functions built on NumPy . It adds significant power to Python by providing the user with high-level commands and classes for manipulating and visualizing data. Description Source:https://docs.scipy.org/doc/scipy-1.8.0/tutorial/general.html,https://bear-apps.bham.ac.uk/applications/2022b/SciPy-bundle/2023.02-gfbf-2022b/,,,,,,
scirpy,anvil,,,,,"Scirpy is a scalable python-toolkit to analyse T cell receptor (TCR) or B cell receptor (BCR) repertoires from single-cell RNA sequencing (scRNA-seq) data. It seamlessly integrates with the popular scanpy library and provides various modules for data import, analysis and visualization.",,,,,,,
scnic,faster,,,,,,,,,,,,
scons,"aces, darwin, faster",,,,,"SCons is an Open Source software construction tool. Think of SCons as an improved, cross-platform substitute for the classic Make utility with integrated functionality similar to autoconf/automake and compiler caches such as ccache. In short, SCons is an easier, more reliable and faster way to build software. Description Source:https://scons.org/",https://www.scons.org/,https://scons.org/doc/production/HTML/scons-man.html,"https://scons.org/doc/production/HTML/scons-user/ , https://scons.org/doc/production/HTML/scons-user/ch02.html , https://github.com/SCons/scons/wiki/SconsTutorial1 , https://github.com/SCons/scons/wiki ",,,,
score-p,aces,,,,,"The Score-P measurement infrastructure is a highly scalable and easy-to-use tool suite for profiling, event tracing, and online analysis of HPC applications.",,,,,,,
scorep,kyric,,,,,"The Score-P measurement infrastructure is a highly scalable and easy-to-use tool suite for profiling, event tracing, and online analysis of HPC applications. Score-P supports analyzing C, C++ and Fortran applications that make use of multi processing (MPI, SHMEM), thread parallelism (OpenMP, PThreads) and accelerators (CUDA, OpenCL, OpenACC) and combinations. It works in combination with Periscope, Scalasca, Vampir, and Tau. Description Source:https://www.vi-hps.org/projects/score-p",https://www.vi-hps.org/projects/score-p,https://perftools.pages.jsc.fz-juelich.de/cicd/scorep/tags/latest/html/,"https://perftools.pages.jsc.fz-juelich.de/cicd/scorep/tags/latest/html/quickstart.html , https://perftools.pages.jsc.fz-juelich.de/cicd/scorep/tags/latest/html/hello_world_8c-example.html , https://perftools.pages.jsc.fz-juelich.de/cicd/scorep/tags/latest/html/print_regions_8c-example.html , ",,,,
scotch,"aces, expanse, faster",,,,,"SCOTCH is a software package and libraries for graph, mesh and hypergraph partitioning, static mapping, and sparse matrix block ordering. Its purpose of Scotch is to apply graph theory, with a divide and conquer approach, to scientific computing problems such as graph and mesh partitioning, static mapping, and sparse matrix ordering, in application domains ranging from structural mechanics to operating systems or bio-chemistry. The SCOTCH distribution is a set of programs and libraries which implement the static mapping and sparse matrix reordering algorithms developed within the SCOTCH project. Description Source:https://packages.gentoo.org/packages/sci-libs/scotch",https://www.labri.fr/perso/pelegrin/scotch/,https://gitlab.inria.fr/scotch/scotch/tree/master/doc,"https://hal.science/hal-00410327/document , https://drops.dagstuhl.de/storage/16dagstuhl-seminar-proceedings/dsp-vol09061/DagSemProc.09061.9/DagSemProc.09061.9.pdf ",,,,
scvelo,anvil,,,,,Scvelo is a scalable toolkit for RNA velocity analysis in single cells.,,,,,,,
scvi-tools,anvil,,,,,scvi-tools (single-cell variational inference tools) is a package for end-to-end analysis of single-cell omics data primarily developed and maintained by the Yosef Lab at UC Berkeley.,,,,,,,
sdl,"aces, faster",,,,,"SDL: Simple DirectMedia Layer, a cross-platform multimedia library",,,,,,,
sdl2,"aces, faster",,,,,"Simple DirectMedia Layer is a cross-platform development library designed to provide low level access to audio, keyboard, mouse, joystick, and graphics hardware via OpenGL and Direct3D. Description Source:https://www.libsdl.org/",https://www.libsdl.org/,https://wiki.libsdl.org/SDL2/,"https://wiki.libsdl.org/SDL2/Introduction , https://wiki.libsdl.org/SDL2/Tutorials , https://wiki.libsdl.org/SDL2/FAQs ",,,,
sdsc,expanse,,,,,,,,,,,,
seaborn,faster,,,,,,,,,,,,
segalign,anvil,,,,,Segalign is a scalable GPU system for pairwise whole genome alignments based on LASTZ's seed-filter-extend paradigm.,,,,,,,
segmentation-models,faster,,,,,,,,,,,,
seidr,anvil,,,,,Seidr is community gene network inference and exploration toolkit.,,,,,,,
sentencepiece,aces,,,,,"SentencePiece is an unsupervised text tokenizer and detokenizer mainly for Neural Network-based text generation systems where the vocabulary size is predetermined prior to the neural model training. SentencePiece implements subword units (e.g., byte-pair-encoding (BPE) [Sennrich et al.]) and unigram language model [Kudo.]) with the extension of direct training from raw sentences. Description Source:https://github.com/google/sentencepiece",https://github.com/google/sentencepiece,https://github.com/google/sentencepiece/tree/master/doc,"https://github.com/google/sentencepiece#usage , https://github.com/google/sentencepiece#end-to-end-example , https://github.com/google/sentencepiece/blob/master/doc/experiments.md ",,,,
sepp,"anvil, faster",,,,,Sepp stands for SATé-Enabled Phylogenetic Placement and addresses the problem of phylogenetic placement for meta-genomic short reads.,,,,,,,
seqcode,anvil,,,,,SeqCode is a family of applications designed to develop high-quality images and perform genome-wide calculations from high-throughput sequencing experiments.,,,,,,,
seqkit,anvil,,,,,Seqkit is a rapid tool for manipulating fasta and fastq files.,,,,,,,
seqyclean,anvil,,,,,Seqyclean is used to pre-process NGS data in order to prepare for downstream analysis.,,,,,,,
serf,"aces, faster",,,,,The serf library is a high performance C-based HTTP client library built upon the Apache Portable Runtime (APR) library. Description Source:https://serf.apache.org/,https://serf.apache.org/,https://github.com/apache/serf/tree/trunk,https://github.com/apache/serf/blob/trunk/design-guide.txt,,,,
settarg,"aces, bridges-2, delta, faster, stampede3",,,,,The settarg module works with Lmod to help developers manage their compiled software projects. It does so by making it easy to switch between optimized or debug builds; change compiler or other modules; and let the build system know about the changes. The secret of settarg is that it consolidates the state of a build into one environment variable called $TARG. Description Source:https://lmod.readthedocs.io/en/latest/310_settarg.html,https://lmod.readthedocs.io/en/latest/310_settarg.html,https://github.com/TACC/Lmod/blob/main/MF/settarg.version.lua,https://sea.ucar.edu/sites/default/files/talk.pdf#page=78,,,,
setuptools,aces,,,,,"Easily download, build, install, upgrade, and uninstall Python packages",,,,,,,
setuptools-rust,"aces, faster",,,,,setuptools-rust is a plugin for setuptools to build Rust Python extensions implemented with PyO3 or rust-cpython.,,,,,,,
shadow,kyric,,,,,"Shadow is a network simulation tool used for modeling, testing, and analyzing complex network infrastructures and protocols. It allows researchers and network engineers to emulate various network scenarios, evaluate performance, and study the behavior of networks under different conditions.",https://shadow.github.io/,https://shadow.github.io/docs/guide/,"https://shadow.github.io/docs/guide/run_shadow_overview.html , https://github.com/shadow/shadow/tree/main/examples ",,,,
shap,aces,,,,,SHAP (SHapley Additive exPlanations) is a game theoretic approach to explain the output of any machine learning model. It connects optimal credit allocation with local explanations using the classic Shapley values from game theory and their related extensions. Description Source:https://shap.readthedocs.io/en/latest/,https://github.com/shap/shap,https://shap.readthedocs.io/en/latest/,"https://github.com/shap/shap#tree-ensemble-example-xgboostlightgbmcatboostscikit-learnpyspark-models , https://shap.readthedocs.io/en/latest/tabular_examples.html , https://github.com/shap/shap/tree/master/notebooks , https://www.kaggle.com/code/dansbecker/shap-values/tutorial , https://christophm.github.io/interpretable-ml-book/shap.html ",,,,
shapeit4,anvil,,,,,SHAPEIT4 is a fast and accurate method for estimation of haplotypes (aka phasing) for SNP array and high coverage sequencing data.,,,,,,,
shapeit5,anvil,,,,,SHAPEIT5 is a software package to estimate haplotypes in large genotype datasets (WGS and SNP array).,,,,,,,
shapely,"aces, faster",,,,,Shapely is a BSD-licensed Python package for manipulation and analysis of planar geometric objects. It is based on the widely deployed GEOS (the engine of PostGIS) and JTS (from which GEOS is ported) libraries.,,,,,,,
shared,"expanse, ookami",,,,,,,,,,,,
shasta,anvil,,,,,Shasta is a software for de novo assembly from Oxford Nanopore reads.,,,,,,,
shigeifinder,anvil,,,,,Shigeifinder is a tool that is used to identify differentiate Shigella/EIEC using cluster-specific genes and identify the serotype using O-antigen/H-antigen genes.,,,,,,,
shorah,anvil,,,,,Shorah is an open source project for the analysis of next generation sequencing data.,,,,,,,
shortstack,anvil,,,,,Shortstack is a tool for comprehensive annotation and quantification of small RNA genes.,,,,,,,
shovill,anvil,,,,,Shovill is a tool to assemble bacterial isolate genomes from Illumina paired-end reads.,,,,,,,
sicer,anvil,,,,,Sicer is a clustering approach for identification of enriched domains from histone modification ChIP-Seq data.,,,,,,,
sicer2,anvil,,,,,Sicer2 is the redesigned and improved ChIP-seq broad peak calling tool SICER.,,,,,,,
siesta,"expanse, ookami",,,,,"SIESTA (Spanish Initiative for Electronic Simulations with Thousands of Atoms) is both a method and its computer program implementation (Fortran 95), to perform efficient electronic structure calculations and ab initio molecular dynamics simulations of molecules and solids. Description Source:https://www.simuneatomistics.com/products/siesta-code/",https://departments.icmab.es/leem/siesta/,https://siesta-project.org/SIESTA_MATERIAL/Docs/Manuals/siesta-4.1.5.pdf,"https://siesta-project.org/SIESTA_MATERIAL/Docs/Tutorials/index.html , https://personales.unican.es/junqueraj/siesta-tutorial.html , https://personales.unican.es/junqueraj/JavierJunquera_files/Metodos/Theory-session.html , https://personales.unican.es/junqueraj/JavierJunquera_files/Metodos/Hands-on-session.html ",,,,
signalp4,anvil,,,,,"SignalP predicts the presence and location of signal peptide cleavage sites in amino acid sequences from different organisms: Gram-positive prokaryotes, Gram-negative prokaryotes, and eukaryotes",,,,,,,
signalp6,anvil,,,,,"SignalP predicts the presence and location of signal peptide cleavage sites in amino acid sequences from different organisms: Gram-positive prokaryotes, Gram-negative prokaryotes, and eukaryotes",,,,,,,
simug,anvil,,,,,Simug is a general-purpose genome simulator.,,,,,,,
singlem,anvil,,,,,SingleM is a tool for profiling shotgun metagenomes.,,,,,,,
singularity,"darwin, jetstream, kyric, ookami",service,Container,,,"Apptainer, formerly known as Singularity, is an open-source container platform designed to create portable and reproducible environments for scientific computing. It allows users to package applications, their dependencies, and data in a single container that can be run consistently across different computing environments. Description Source:https://apptainer.org/",https://sylabs.io/singularity/,https://docs.sylabs.io/guides/4.1/user-guide/,"https://docs.sylabs.io/guides/4.1/user-guide/quick_start.html , https://sylabs.io/category/how-to/ , https://github.com/sylabs/singularity/tree/main/examples , https://www.youtube.com/watch?v=DA87Ba2dpNM ",,,DARWIN: https://docs.hpc.udel.edu/software/singularity/singularity,
singularitypro,expanse,,,,,"Singularity is a widely-adopted open source container platform that implements a unique security model to mitigate privilege escalation risks, and provides a format to capture a complete application environment into a single file. Sylabs provides licensing for SingularityPRO, enterprise level support, professional services, cloud functionality, and value-added plugins for Singularity container platform. Description Source:https://sylabs.io/singularity-pro/",https://sylabs.io/singularity/,https://docs.sylabs.io/guides/4.1/user-guide/,"https://docs.sylabs.io/guides/4.1/user-guide/quick_start.html , https://sylabs.io/category/how-to/ , https://github.com/sylabs/singularity/tree/main/examples , https://www.youtube.com/watch?v=DA87Ba2dpNM ",,,,
sionlib,"aces, kyric",,,,,SIONlib is a library for writing and reading binary data to/from several thousands of processors into one or a small number of physical files. For parallel access to files only the open and close functions are collective while writing and reading file can be done asynchronously. Description Source:https://apps.fz-juelich.de/jsc/sionlib/docu/index.html,"https://www.fz-juelich.de/en/ias/jsc/services/user-support/software-tools/sionlib?expand=translations,fzjsettings,nearest-institut",https://apps.fz-juelich.de/jsc/sionlib/docu/current/,"https://apps.fz-juelich.de/jsc/sionlib/docu/current/util_page.html , https://apps.fz-juelich.de/jsc/sionlib/docu/current/examples.html ",,,,
sip,faster,,,,,,,,,,,,
ska,anvil,,,,,"SKA (Split Kmer Analysis) is a toolkit for prokaryotic (and any other small, haploid) DNA sequence analysis using split kmers.",,,,,,,
skewer,anvil,,,,,Skewer is a fast and accurate adapter trimmer for paired-end reads.,,,,,,,
sklearn,ookami,,,,,,,,,,,,
slamdunk,anvil,,,,,"Slamdunk is a novel, fully automated software tool for automated, robust, scalable and reproducible SLAMseq data analysis.",,,,,,,
slepc,"aces, expanse, faster",,,,,"SLEPc (Scalable Library for Eigenvalue Problem Computations) is a software library for the solution of large scale sparse eigenvalue problems on parallel computers. It is an extension of PETSc and can be used for linear eigenvalue problems in either standard or generalized form, with real or complex arithmetic. Description Source:https://slepc.upv.es/",https://slepc.upv.es/,https://slepc.upv.es/documentation/,"https://slepc.upv.es/documentation/slepc.pdf , https://slepc.upv.es/documentation/#video-tutorials , https://slepc.upv.es/handson/ ",,,,
slurm,"expanse, ookami",,Scheduler,,,"Slurm is an open-source cluster resource management and job scheduling system that strives to be simple, scalable, portable, fault-tolerant, and interconnect agnostic. Slurm currently has been tested only under Linux. Description Source:https://github.com/SchedMD/slurm",https://slurm.schedmd.com/overview.html,https://slurm.schedmd.com/documentation.html,"https://slurm.schedmd.com/quickstart.html , https://slurm.schedmd.com/pdfs/summary.pdf , https://www.schedmd.com/publications/ ",,,,
slurm-env,delta,,,,,"When a job scheduled by Slurm starts, it needs to know certain things about how it was scheduled, etc. E.g., what is it's working directory, or what nodes were allocated for it. Slurm passes this information to the job via environmental variables. In addition to being available to your job, these are also used by programs like mpirun to default values. This way, something like mpirun already knows how many tasks to start and on which nodes, without you needing to pass this information explicitly. Description Source:https://hpcc.umd.edu/hpcc/help/slurmenv.html",https://slurm.schedmd.com/overview.html,https://slurm.schedmd.com/documentation.html,"https://slurm.schedmd.com/quickstart.html , https://slurm.schedmd.com/pdfs/summary.pdf , https://www.schedmd.com/publications/ ",,,,
smoove,anvil,,,,,Smoove simplifies and speeds calling and genotyping SVs for short reads.,,,,,,,
smrt-link,faster,,,,,,,,,,,,
snakemake,"anvil, faster",,,,,"The Snakemake workflow management system is a tool to create reproducible and scalable data analyses. Workflows are described via a human readable, Python based language. Description Source:https://snakemake.readthedocs.io/en/stable/",https://snakemake.github.io/,https://snakemake.readthedocs.io/en/stable/,"https://snakemake.readthedocs.io/en/stable/#getting-started , https://snakemake.readthedocs.io/en/stable/tutorial/tutorial.html , https://snakemake.readthedocs.io/en/stable/project_info/more_resources.html , https://snakemake.readthedocs.io/en/stable/project_info/faq.html , https://slowkow.com/notes/snakemake-tutorial/ , https://f1000research.com/articles/10-33/v2 ",,,,
snap,anvil,,,,,Snap is a semi-HMM-based Nucleic Acid Parser -- gene prediction tool.,,,,,,,
snap-aligner,anvil,,,,,Snap-aligner(Scalable Nucleotide Alignment Program) is a fast and accurate read aligner for high-throughput sequencing data,,,,,,,
snappy,"aces, faster",,,,,"Snappy is a compression/decompression library. It does not aim for maximum compression, or compatibility with any other compression library; instead, it aims for very high speeds and reasonable compression. Description Source:https://github.com/google/snappy",https://google.github.io/snappy/,https://github.com/google/snappy/blob/main/README.md,"https://github.com/google/snappy/blob/main/snappy.h , https://witestlab.poly.edu/~ffund/el9043/snappy.html ",,,,
snaptools,anvil,,,,,Snaptools is a python module for pre-processing and working with snap file.,,,,,,,
snippy,anvil,,,,,Snippy is a tool for rapid haploid variant calling and core genome alignment.,,,,,,,
snp-dists,anvil,,,,,Snp-dists is a tool to convert a FASTA alignment to SNP distance matrix.,,,,,,,
snp-sites,anvil,,,,,Snp-sites is a tool that apidly extracts SNPs from a multi-FASTA alignment.,,,,,,,
snpeff,anvil,,,,,Snpeff is an open source tool that annotates variants and predicts their effects on genes by using an interval forest approach.,,,,,,,
snpgenie,anvil,,,,,"Snpgenie is a collection of Perl scripts for estimating πN/πS, dN/dS, and gene diversity from next-generation sequencing (NGS) single-nucleotide polymorphism (SNP) variant data.",,,,,,,
snphylo,anvil,,,,,Snphylo is a pipeline to generate a phylogenetic tree from huge SNP data.,,,,,,,
snpsift,anvil,,,,,"Snpsift is a tool used to annotate genomic variants using databases, filters, and manipulates genomic annotated variants.",,,,,,,
soapdenovo2,"anvil, expanse",,,,,Soapdenovo2 is a short-read assembly method to build de novo draft assembly.,,,,,,,
sortmerna,anvil,,,,,"SortMeRNA is a local sequence alignment tool for filtering, mapping and clustering.",,,,,,,
souporcell,anvil,,,,,souporcell is a method for clustering mixed-genotype scRNAseq experiments by individual. Description Source:https://github.com/wheaton5/souporcell,https://wheaton5.github.io/projects/souporcell,https://github.com/wheaton5/souporcell,https://demultiplexing-doublet-detecting-docs.readthedocs.io/en/latest/Souporcell.html ,,,,
sourmash,anvil,,,,,"Sourmash is a tool for quickly search, compare, and analyze genomic and metagenomic data sets.",,,,,,,
spaceranger,anvil,,,,,Spaceranger is a set of analysis pipelines that process Visium Spatial Gene Expression data with brightfield and fluorescence microscope images.,,,,,,,
spack,"faster, ookami",,Software repo,,,"Spack is a package manager for supercomputers, Linux, and macOS. It makes installing scientific software easy. Spack isn’t tied to a particular language; you can build a software stack in Python or R, link to libraries written in C, C++, or Fortran, and easily swap compilers or target specific microarchitectures. Description Source:https://spack.io/",https://spack.io/ ,https://spack.readthedocs.io/en/latest/,"https://spack.io/about/ , https://spack.readthedocs.io/en/latest/getting_started.html , https://spack.readthedocs.io/en/latest/basic_usage.html , https://spack-tutorial.readthedocs.io/en/latest/ ",,,,
spacy,aces,Library,,,,"spaCy is a free, open-source library for advanced Natural Language Processing (NLP) in Python. Description Source:https://spacy.io/usage/spacy-101#whats-spacy",https://spacy.io/,https://spacy.io/api,"https://spacy.io/usage/spacy-101 , https://spacy.io/usage , https://spacy.io/api/example , https://course.spacy.io/en/ ",,,,
spades,"aces, anvil, bridges-2, expanse, faster",,,,,SPAdes is a genome assembly software that is specifically designed for single-cell and multi-cell bacterial sequencing data. It uses a combination of de Bruijn graph algorithms and error correction methods to construct accurate genome sequences.,https://github.com/ablab/spades,https://ablab.github.io/spades/,"https://ablab.github.io/spades/getting-started.html , https://github.com/ablab/spades#quick-start , https://github.com/ablab/spades/wiki ",,,,
spark,"anvil, bridges-2, expanse, faster",,,,,"Apache Spark is an open-source, distributed computing system designed for big data processing and analytics. It provides an easy-to-use programming interface for scalable data processing, machine learning, and real-time analytics across clustered environments.",https://spark.apache.org/,https://spark.apache.org/docs/latest/,"https://spark.apache.org/docs/latest/quick-start.html , https://spark.apache.org/examples.html , https://www.tutorialspoint.com/apache_spark/index.htm , https://spark.apache.org/faq.html ",,,,
sparsehash,faster,,,,,,,,,,,,
spdlog,ookami,,,,,"spdlog is a fast, header-only logging library for C++. It provides efficient logging capabilities with various features like thread safety, asynchronous logging, and log rotation. spdlog is designed for high-performance logging needs while maintaining simplicity and ease of use.",https://github.com/gabime/spdlog,https://github.com/gabime/spdlog/wiki,"https://github.com/gabime/spdlog/wiki/1.-QuickStart , https://github.com/gabime/spdlog#usage-samples , https://github.com/gabime/spdlog/blob/v1.x/example/CMakeLists.txt , https://github.com/gabime/spdlog/blob/v1.x/example/example.cpp ",,,,
speedseq,faster,,,,,,,,,,,,
spglib,"aces, faster",Library,,,,"Spglib is a library for finding and handling crystal symmetries written in C. There are the python, fortran, rust, and ruby interfaces. Description Source:https://spglib.readthedocs.io/en/stable/",https://github.com/spglib/spglib,https://spglib.readthedocs.io/,"https://github.com/spglib/spglib#what-does-spglib-do , https://github.com/spglib/spglib/tree/develop/example ",https://github.com/spglib/spglib,,,
spglib-python,"aces, faster",,,,,Spglib-Python is a package of Python bindings for Spglib. Description Source:https://pypi.org/project/spglib/,https://pypi.org/project/spglib/,https://spglib.readthedocs.io/en/stable/python-interface.html,"https://github.com/spglib/spglib#what-does-spglib-do , https://github.com/spglib/spglib/tree/develop/example ",,,,
spice-server,anvil,,,,,,,,,,,,
spoa,faster,,,,,,,,,,,,
sprng,expanse,,,,,,,,,,,,
sprod,anvil,,,,,Sprod is a tool for de-noising spatially resolved transcriptomics data based on position and image information.,,,,,,,
spython,"aces, faster",,,,,Singularity Python is a Python API to work with the Singularity open source software. Description Source:https://singularityhub.github.io/singularity-cli/,https://singularityhub.github.io/singularity-cli/,https://singularityhub.github.io/singularity-cli/api/source/spython.main.html,"https://github.com/singularityhub/singularity-cli/tree/master/docs#getting-started , https://singularityhub.github.io/singularity-cli/recipes",,,,
sqlite,"aces, delta, expanse, faster, kyric",,,,,"SQLite is a C-language library that implements a small, fast, self-contained, high-reliability, full-featured, SQL database engine. Description Source:https://www.sqlite.org/",https://www.sqlite.org/index.html,https://www.sqlite.org/docs.html,"https://www.sqlite.org/quickstart.html , https://www.sqlitetutorial.net/ , https://www.tutorialspoint.com/sqlite/ , https://www.sqlite.org/quirks.html , https://www.sqlite.org/faq.html , https://sqlite.org/fiddle/index.html ",,,,
squashfs,kyric,,,,,"SquashFS is a compressed read-only filesystem with built-in compression providing space-efficient storage. It is commonly used in embedded systems, live CDs, and Linux distributions to compress filesystem images and reduce storage space requirements while maintaining efficient access to files.",https://github.com/plougher/squashfs-tools,https://docs.kernel.org/filesystems/squashfs.html,"https://github.com/plougher/squashfs-tools/blob/master/USAGE-4.6 , https://tldp.org/HOWTO/SquashFS-HOWTO/index.html , https://github.com/plougher/squashfs-tools/blob/master/examples/pseudo-file.example ",,,,
squashfs-tools,darwin,,,,,,https://github.com/plougher/squashfs-tools,https://docs.kernel.org/filesystems/squashfs.html,"https://github.com/plougher/squashfs-tools/blob/master/USAGE-4.6 , https://tldp.org/HOWTO/SquashFS-HOWTO/index.html , https://github.com/plougher/squashfs-tools/blob/master/examples/pseudo-file.example ",,,,
squeezemeta,anvil,,,,,"SqueezeMeta is a fully automated metagenomics pipeline, from reads to bins.",,,,,,,
squid,anvil,,,,,SQUID is designed to detect both fusion-gene and non-fusion-gene transcriptomic structural variations from RNA-seq alignment.,,,,,,,
sra-toolkit,"aces, bridges-2, faster",,Bioinformatics,Sciences,Biology,The SRA Toolkit and SDK from NCBI is a collection of tools and libraries for using data in the INSDC Sequence Read Archives. Description Source:https://github.com/ncbi/sra-tools,https://github.com/ncbi/sra-tools,https://github.com/ncbi/sra-tools/wiki,"https://hpc.nih.gov/apps/sratoolkit.html , https://github.com/ncbi/sra-tools/wiki/03.-Quick-Toolkit-Configuration , https://github.com/ncbi/sra-tools/wiki/FAQ ",,,,
sra-tools,anvil,,Bioinformatics,Sciences,Biology,The SRA Toolkit and SDK from NCBI is a collection of tools and libraries for using data in the INSDC Sequence Read Archives. Description Source:https://github.com/ncbi/sra-tools,https://github.com/ncbi/sra-tools,https://github.com/ncbi/sra-tools/wiki,"https://hpc.nih.gov/apps/sratoolkit.html , https://github.com/ncbi/sra-tools/wiki/03.-Quick-Toolkit-Configuration , https://github.com/ncbi/sra-tools/wiki/FAQ ",,,,
sratoolkit,"anvil, expanse",,Bioinformatics,Sciences,Biology,,https://github.com/ncbi/sra-tools,https://github.com/ncbi/sra-tools/wiki,"https://hpc.nih.gov/apps/sratoolkit.html , https://github.com/ncbi/sra-tools/wiki/03.-Quick-Toolkit-Configuration , https://github.com/ncbi/sra-tools/wiki/FAQ ",,,,
srst2,anvil,,,,,"Srst2 is designed to take Illumina sequence data, a MLST database and/or a database of gene sequences (e.g. resistance genes, virulence genes, etc) and report the presence of STs and/or reference genes.",,,,,,,
stacks,"anvil, expanse, faster",,,,,Stacks is a software pipeline for building loci from RAD-seq,,,,,,,
star,"aces, anvil, bridges-2, expanse, faster",,Bioinformatics,Sciences,Biology,"STAR (Spliced Transcripts Alignment to a Reference) is a fast and highly accurate RNA sequencing read mapper. It aligns RNA-Seq reads to a reference genome or transcriptome, enabling comprehensive analysis of gene expression and alternative splicing.",https://github.com/alexdobin/STAR,https://github.com/alexdobin/STAR/blob/master/doc/STARmanual.pdf,"https://github.com/alexdobin/STAR/wiki , https://training.galaxyproject.org/training-material/topics/transcriptomics/tutorials/rna-seq-bash-star-align/tutorial.html , https://hbctraining.github.io/Intro-to-rnaseq-hpc-O2/lessons/03_alignment.html ",,,,
star-fusion,bridges-2,,Bioinformatics,Sciences,Biology,"STAR-Fusion is a software tool that identifies fusion genes from RNA sequencing data. It integrates the efficient read aligner STAR with comprehensive fusion detection algorithms, providing accurate identification of gene fusions in transcriptomic analysis.",https://github.com/STAR-Fusion/STAR-Fusion,https://github.com/STAR-Fusion/STAR-Fusion/wiki,"https://github.com/STAR-Fusion/STAR-Fusion/wiki#running-star-fusion , https://github.com/STAR-Fusion/STAR-Fusion-Tutorial/wiki , https://hpc.nih.gov/apps/STAR.html , https://github.com/STAR-Fusion/STAR-Fusion/wiki/STAR-Fusion-FAQ ",,,,
staramr,anvil,,,,,"staramr scans bacterial genome contigs against the ResFinder, PointFinder, and PlasmidFinder databases (used by the ResFinder webservice and other webservices offered by the Center for Genomic Epidemiology) and compiles a summary report of detected antimicrobial resistance genes.",,,,,,,
starfusion,anvil,,,,,STAR-Fusion is a component of the Trinity Cancer Transcriptome Analysis Toolkit (CTAT).,,,,,,,
starpu,aces,,,,,PM2 is an umbrella software suite for high-performance runtime systems. Modules may be installed and used together or separately.,,,,,,,
stat,delta,,,,,,,,,,,,
stata,darwin,,,,,,,,,,,,
statsmodels,"aces, faster",,,,,"statsmodels is a Python module that provides classes and functions for the estimation of many different statistical models, as well as for conducting statistical tests, and statistical data exploration. An extensive list of result statistics are available for each estimator. The results are tested against existing statistical packages to ensure that they are correct. Description Source:https://www.statsmodels.org/stable/index.html",https://github.com/statsmodels/statsmodels/,https://www.statsmodels.org/stable/,"https://www.statsmodels.org/stable/gettingstarted.html , https://www.statsmodels.org/stable/user-guide.html , https://www.statsmodels.org/stable/examples/ , https://mode.com/python-tutorial/libraries/statsmodels ",,,,
strace,faster,,,,,,,,,,,,
stream,anvil,,,,,Stream is an interactive pipeline capable of disentangling and visualizing complex branching trajectories from both single-cell transcriptomic and epigenomic data.,,,,,,,
stringdecomposer,anvil,,,,,Stringdecomposer is a tool for decomposition centromeric assemblies and long reads into monomers.,,,,,,,
stringtie,"anvil, expanse",,,,,Stringtie is a fast and highly efficient assembler of RNA-Seq alignments into potential transcripts.,,,,,,,
strique,anvil,,,,,Strique is a python package to analyze repeat expansion and methylation states of short tandem repeats (STR) in Oxford Nanopore Technology (ONT) long read sequencing data.,,,,,,,
structure,"anvil, faster",,,,,Structure is a software package for using multi-locus genotype data to investigate population structure.,,,,,,,
strumpack,faster,,,,,,,,,,,,
subread,anvil,,,,,"Subread carries out high-performance read alignment, quantification and mutation discovery. It is a general-purpose read aligner which can be used to map both genomic DNA-seq reads and DNA-seq reads. It uses a new mapping paradigm called seed-and-vote to achieve fast, accurate and scalable read mapping. Subread automatically determines if a read should be globally or locally aligned, therefore particularly powerful in mapping RNA-seq reads. It supports INDEL detection and can map reads with both fixed and variable lengths.",,,,,,,
subversion,"aces, delta, expanse, faster",,,,,Subversion is an open source version control system. Description Source:https://subversion.apache.org/,https://subversion.apache.org/,https://svnbook.red-bean.com/nightly/en/,"https://subversion.apache.org/quick-start , https://svnbook.red-bean.com/nightly/en/svn.intro.quickstart.html , https://svnbook.red-bean.com/nightly/en/index.html#:~:text=List%20of%20Examples , https://cwiki.apache.org/confluence/display/SVN/ , https://subversion.apache.org/faq.html ",,,,
