Software,RP Name,Software Type,Software Class,Research Field,Research Area,Research Discipline,Software Description,Core Features,General Tags,Software's Web Page,Software Documentation,Example Software Use,RP Software Documentation,Version Info,AI Description,Example Use
scalapack,"Aces, Bridges-2, Darwin, Faster, Ookami",Library,Computational Software,Physical Sciences,Engineering,Other,"ScaLAPACK is a library of high-performance linear algebra routines for parallel distributed memory machines. ScaLAPACK solves dense and banded linear systems, least squares problems, eigenvalue problems, and singular value problems. 
Description Source: https://www.netlib.org/scalapack/","Parallel Algorithms For Dense Linear Algebra Operations, Optimized For Distributed Memory Architectures, Support For Blas (Basic Linear Algebra Subprograms), Matrix Factorizations, Linear Equation Solving, Least Squares Problems, Highly Efficient & Scalable For Large Matrices, Used In Scientific Computing & High-Performance Computing Applications","Linear-Algebra, Numerical-Computing, Distributed-Computing, Parallel-Computing",https://www.netlib.org/scalapack/scalapack_home.html,https://www.netlib.org/scalapack/slug/,"https://netlib.org/scalapack/slug/node25.html 
https://www.netlib.org/scalapack/tutorial/ 
https://www.netlib.org/scalapack/examples/ ","Aces: https://hprc.tamu.edu/software/aces/ 
Bridges-2: https://www.psc.edu/resources/software/scalapack 
Faster: https://hprc.tamu.edu/software/faster/ 
Ookami: https://www.stonybrook.edu/commcms/ookami/support/faq/software_on_ookami","Aces: 2.1.0-Fb, 2.1.0, 2.2.0-Fb
Bridges-2: 2.1.0
Faster: 2.0.2-Openblas-0.3.1, 2.0.2, 2.1.0-Bf, 2.1.0-Fb, 2.1.0, 2.2.0-Fb",ScaLAPACK (Scalable LAPACK) is a parallel version of LAPACK (Linear Algebra PACKage) for distributed memory machines. It is designed to efficiently solve large-scale problems in numerical linear algebra using parallelism.,
scalasca,"Aces, Kyric, Ookami",Performance Analysis Tool,Code Analysis,Computer & Information Sciences,Performance Analysis,"Software Engineering, Systems, & Development","Scalasca is a software tool that supports the performance optimization of parallel programs by measuring and analyzing their runtime behavior. The analysis identifies potential performance bottlenecks – in particular those concerning communication and synchronization – and offers guidance in exploring their causes. 
Description Source: https://www.scalasca.org/","1. Performance analysis of parallel applications
2. Identifying performance bottlenecks
3. Scalable and usable performance data
4. Optimizing parallel application performance
5. Supports MPI applications
6. Visualization of performance data","Performance Analysis, Parallel Applications, Performance Optimization, Mpi Applications, Visualization",https://www.scalasca.org/,https://www.scalasca.org/scalasca/software/scalasca-2.x/documentation.html,"https://apps.fz-juelich.de/scalasca/releases/scalasca/2.6/docs/manual/start.html 
https://apps.fz-juelich.de/scalasca/releases/scalasca/2.6/docs/manual/start_workflow.html 
https://apps.fz-juelich.de/scalasca/releases/scalasca/2.6/docs/QuickReference.pdf ","Aces: https://hprc.tamu.edu/software/aces/ 
Ookami: https://www.stonybrook.edu/commcms/ookami/support/faq/software_on_ookami","Aces: 2.6.1
Kyric: 2.5",Scalasca is a software toolset for analyzing the performance behavior of parallel applications and specifically for identifying potential performance bottlenecks. It assists users in optimizing the performance of their parallel applications by providing scalable and usable performance data.,
scanpy,Anvil,Python Library,Analysis Tool,Biological Sciences,Single-Cell RNA Sequencing Analysis,Bioinformatics,Scanpy is a scalable toolkit for analyzing single-cell gene expression data built jointly with anndata.,"Quality Control Of Single-Cell Data, Preprocessing & Normalization Of Gene Expression Data, Dimension Reduction & Visualization Techniques, Clustering Of Cell Populations, Trajectory Inference For Cell Development Processes, Differential Gene Expression Analysis, Integration Of Single-Cell Data With Other Omics Datasets","Single-Cell RNA Sequencing Analysis, Bioinformatics, Data Visualization, Machine Learning",,,,Anvil: https://www.rcac.purdue.edu/software/scanpy,"Anvil: 1.8.2, 1.9.1","Scanpy is a scalable toolkit for analyzing single-cell gene expression data. It provides a wide range of functionalities for quality control, preprocessing, visualization, clustering, trajectory inference, differential expression testing, and integration with other omics data.",
scarches,Anvil,Toolkit,Data Analysis Tool,Biological Sciences,Single-Cell RNA Sequencing,Bioinformatics,scArches is a package to integrate newly produced single-cell datasets into integrated reference atlases.,"Single-Cell RNA Velocity Analysis, Scalable Toolkit, Prediction Of Cell State Transitions, Identification Of Dynamically Changing Genes","Single-Cell RNA Sequencing, Python Toolkit, Bioinformatics",,,,Anvil: https://www.rcac.purdue.edu/software/scarches,Anvil: 0.5.3,scarches is a scalable toolkit for single-cell RNA velocity analysis in Python. It enables efficient analysis of large-scale single-cell RNA sequencing data to predict cell state transitions and identify dynamically changing genes.,
scgen,Anvil,Deep Learning Framework,Data Analysis,Biological Sciences,Genomics,Bioinformatics,"scGen is a generative model to predict single-cell perturbation response across cell types, studies and species.","Generates Bulk-Level Transcriptomic Profiles From Scrna-Seq Data, Predicts Gene Expression Influenced By Genetic & Environmental Factors, Bridges Resolution Gap Between Single-Cell & Bulk-Level Omics Data, Utilizes Deep Learning Techniques For Modeling Gene Expression","Single-Cell RNA-Sequencing, Bulk-Level Transcriptomic Profiles, Deep Learning, Gene Expression Prediction",,,,Anvil: https://www.rcac.purdue.edu/software/scgen,Anvil: 2.1.0,"scGen is a deep learning framework for generating bulk-level transcriptomic profiles from single-cell RNA-sequencing data. It predicts the influence of genetic and environmental factors on gene expression at a population-level, bridging the resolution gap between single-cell and bulk-level omics data.",
schrodinger,Faster,,,,,,,"Schrodinger software includes molecular docking, molecular dynamics simulations, quantum mechanics calculations, virtual screening, protein-ligand interaction analysis, and property prediction for small molecules and biomolecules.","Molecular Simulations, Quantum Chemistry, Drug Discovery, Materials Research",,,,Faster: https://hprc.tamu.edu/software/faster/,"Faster: 2020-1, 2021-3",Schrodinger is a leading provider of advanced molecular simulations and quantum chemistry software for Life Sciences and Materials Research. The software suite offers a wide range of tools for drug discovery and materials science applications.,
scikit-bio,Faster,Library,Data Analysis & Visualization,Biological Sciences,Computational Biology,Bioinformatics,,"Manipulation Of Biological Sequence Data, Phylogenetic Tree Analysis, Metadata Handling, Sequence Alignment, Statistical Analysis For Biological Data","Bioinformatics, Python Library, Biological Data Analysis, Sequence Analysis",,,,Faster: https://hprc.tamu.edu/software/faster/,Faster: 0.5.7,"scikit-bio is a Python library for bioinformatics that provides tools for biological data manipulation, analysis, and visualization. It offers functionality for working with biological sequence data, phylogenetic trees, and related metadata.",
scikit-build,"Aces, Faster",Library,Software Development,Computer & Information Sciences,,,"scikit-build is a Python build system for CPython C/C++/Fortran/Cython extensions using CMake. The scikit-build package is fundamentally just glue between the setuptools Python module and CMake. 
Description Source: https://scikit-build.readthedocs.io/en/latest/","1. Simplified generation of CMake-based build systems for Python extensions.
2. Integrated support for compiling and packaging C++, C, Fortran, and Cython code with Python packages.
3. Seamless integration with setuptools, enabling easy building and distribution of packages.","Python Library, Build System, Cmake Integration",https://github.com/scikit-build/scikit-build,https://scikit-build.readthedocs.io/en/latest/,"https://scikit-build.readthedocs.io/en/latest/usage.html#basic-usage 
https://scikit-build.readthedocs.io/en/latest/usage.html#advanced-usage 
https://scikit-build.readthedocs.io/en/latest/usage.html#example-of-setup-py-cmakelists-txt-and-pyproject-toml 
https://github.com/scikit-build/scikit-build-sample-projects ","Aces: https://hprc.tamu.edu/software/aces/ 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 0.11.1, 0.15.0, 0.17.2, 0.17.6
Faster: 0.11.1, 0.15.0, 0.16.7, 0.17.6","Scikit-build is an improved build system generator for CPython C/C++/Fortran/Cython extensions. It provides better support for CMake and enables you to easily build Python packages containing C++, C, Fortran, or Cython code.",
scikit-cuda,Aces,Python Library,Computational Software,Computer & Information Sciences,,,"scikit-cuda provides Python interfaces to many of the functions in the CUDA device/runtime, CUBLAS, CUFFT, and CUSOLVER libraries distributed as part of NVIDIA’s CUDA Programming Toolkit, as well as interfaces to select functions in the CULA Dense Toolkit. 
Description Source: https://scikit-cuda.readthedocs.io/en/latest/","Provides Python Interface To Nvidia'S Cuda Api For Gpu Programming, Supports Gpu-Accelerated Linear Algebra Operations & Numerical Algorithms, Allows For Seamless Integration Of Cuda Code Within Python Programs, Enables Faster Computation For Large-Scale Numerical Tasks","Python Library, Gpu Programming, Numerical Algorithms, Linear Algebra, Cuda Api",https://github.com/lebedov/scikit-cuda,https://scikit-cuda.readthedocs.io/en/latest/,https://github.com/lebedov/scikit-cuda/tree/master/demos,Aces: https://hprc.tamu.edu/software/aces/,Aces: 0.5.3-Cuda-11.8.0,scikit-cuda is a Python library that provides a Python interface to Nvidia's CUDA parallel computation API. It aims to make GPU programming more accessible to Python developers by providing GPU-accelerated linear algebra operations and other numerical algorithms.,
scikit-fda,Faster,Library,Data Analysis,Mathematics,Functional Data Analysis,Statistics & Probability,,"- Functional Data Representation, - Functional Data Visualization, - Preprocessing Techniques For Functional Data, - Modeling Tools For Functional Data Analysis","Functional Data Analysis, Python Library, Data Analysis, Machine Learning",,,,Faster: https://hprc.tamu.edu/software/faster/,Faster: 0.7.1,"scikit-fda is a Python library designed for Functional Data Analysis (FDA) in the context of Scikit-learn. It provides tools for data representation, visualization, preprocessing, and modeling with functional data.",
scikit-image,"Aces, Faster",Library,Image Processing Library,Computer & Information Sciences,,,"Scikit-image is an open-source image processing library for Python that provides a collection of algorithms for segmentation, geometric transformations, color space manipulation, analysis, filtering, morphology, and more. It's designed to integrate seamlessly with other Python libraries such as NumPy and SciPy for scientific computing tasks.","Image Processing Algorithms, Feature Extraction, Segmentation Techniques, Color Space Manipulation, Filters & Edge Detection","Image Processing, Python Library",https://scikit-image.org/,https://scikit-image.org/docs/stable/,"https://scikit-image.org/docs/stable/user_guide/getting_started.html 
https://scikit-image.org/docs/stable/user_guide/tutorials.html 
https://scikit-image.org/docs/stable/auto_examples/index.html 
https://scikit-image.org/docs/stable/user_guide/ 
https://datacarpentry.org/image-processing/ ","Aces: https://hprc.tamu.edu/software/aces/ 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 0.19.3
Faster: 0.16.2-Python-3.7.4, 0.18.1, 0.19.1","scikit-image is an open-source image processing library for the Python programming language that is designed to work with NumPy arrays. It provides a collection of algorithms for image processing, segmentation, feature extraction, and more.",
scikit-learn,"Aces, Faster",Libraries,Machine Learning Library,"Computer & Information Sciences, Artificial Intelligence & Intelligent Systems",Machine Learning,Artificial Intelligence & Intelligent Systems,"Scikit-learn is an open-source machine learning library for Python, known for its simplicity and accessibility. It provides a wide range of supervised and unsupervised learning algorithms, as well as tools for model fitting, data preprocessing, model selection, and evaluation.","Supervised Learning, Unsupervised Learning, Dimensionality Reduction, Model Selection, Preprocessing Data","Machine Learning, Python Library",https://scikit-learn.org/stable/,https://scikit-learn.org/stable/user_guide.html,"https://scikit-learn.org/stable/getting_started.html 
https://scikit-learn.org/stable/tutorial/index.html 
https://scikit-learn.org/stable/auto_examples/index.html 
https://github.com/scikit-learn/scikit-learn/wiki ","Aces: https://hprc.tamu.edu/software/aces/ 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 0.24.2, 1.1.2, 1.2.1
Faster: 0.23.1-Python-3.8.2, 0.23.2, 0.24.2, 1.0.1, 1.1.2, 1.2.1","Scikit-learn is a machine learning library for the Python programming language. It features various classification, regression, and clustering algorithms including support vector machines, random forests, gradient boosting, k-means, and DBSCAN, among others. Scikit-learn is designed to interoperate with the Python numerical and scientific libraries NumPy and SciPy.",
scipy,Faster,Python,Library,"Computer & Information Sciences, Other Computer & Information Sciences",,,"SciPy is a collection of mathematical algorithms and convenience functions built on NumPy . It adds significant power to Python by providing the user with high-level commands and classes for manipulating and visualizing data. 
Description Source: https://docs.scipy.org/doc/scipy-1.8.0/tutorial/general.html","Numerical Integration & Optimization, Linear Algebra Operations, Interpolation & Curve Fitting, Statistics & Signal Processing, Image Processing, Sparse Matrix Operations","Scientific Computing, Numerical Algorithms, Python Library, Data Analysis, Signal Processing",https://scipy.org/,https://docs.scipy.org/doc/scipy/reference/,"https://docs.scipy.org/doc/scipy/tutorial/ 
https://docs.scipy.org/doc/scipy/notebooks/interp_transition_guide.html 
https://www.tutorialspoint.com/scipy/ ",Faster: https://hprc.tamu.edu/software/faster/,Faster: 1.4.1-Python-3.7.4,"SciPy is an open-source Python library that is used for scientific and technical computing. It provides efficient algorithms for numerical integration, optimization, linear algebra, interpolation, and more. SciPy builds on NumPy arrays for high-performance array operations and adds modules for statistics, signal processing, image processing, and other scientific computing tasks.",
scipy_tamu,Faster,Scientific Computing,Library,Mathematics,,Applied Mathematics,,"1. Includes a wide range of mathematical functions and numerical routines for scientific computing. 2. Offers tools for optimization, integration, interpolation, Fourier transforms, linear algebra, and more. 3. Supports efficient data structures and arrays for computational tasks. 4. Integrates seamlessly with other Python scientific computing libraries like NumPy and Matplotlib.","Scientific Computing, Mathematical Functions, Numerical Routines, Optimization, Linear Algebra",,,,Faster: https://hprc.tamu.edu/software/faster/,Faster: 2021.10-Python-3.8.6,scipy_tamu is a software library that provides various scientific computing tools and algorithms tailored for research and educational purposes.,
scipy-bundle,"Aces, Faster",Scientific Computing,Library,"Computer & Information Sciences, Other Computer & Information Sciences",,,"SciPy is a collection of mathematical algorithms and convenience functions built on NumPy . It adds significant power to Python by providing the user with high-level commands and classes for manipulating and visualizing data. 
Description Source: https://docs.scipy.org/doc/scipy-1.8.0/tutorial/general.html","1. Numerical processing tools
2. Optimization algorithms
3. Statistical functions and distributions
4. Interpolation and integration methods
5. Signal processing techniques
6. Linear algebra and sparse matrix operations","Scientific Computing, Numerical Processing, Statistics, Optimization, Signal Processing",https://bear-apps.bham.ac.uk/applications/2022b/SciPy-bundle/2023.02-gfbf-2022b/,,,"Aces: https://hprc.tamu.edu/software/aces/ 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 2020.11, 2021.05, 2021.10, 2022.05, 2023.02, 2023.07, ...
Faster: 2019.10-Python-2.7.16, 2019.10-Python-3.7.4, 2020.03-Python-3.8.2, 2020.11, 2021.05, ...","The scipy-bundle is a comprehensive collection of scientific computing tools built on top of the SciPy library. It includes a wide range of modules and packages for numerical processing, optimization, statistics, integration, interpolation, signal processing, and more.",
scirpy,Anvil,Python Library,Bioinformatics Tool,Biological Sciences,Immunology,Bioinformatics,"Scirpy is a scalable python-toolkit to analyse T cell receptor (TCR) or B cell receptor (BCR) repertoires from single-cell RNA sequencing (scRNA-seq) data. It seamlessly integrates with the popular scanpy library and provides various modules for data import, analysis and visualization.","Analysis Of B Cell & T Cell Receptor Repertoires, Integration With Single-Cell RNA Sequencing Data, Clonotyping & V(D)J Gene Usage Analysis, Diversity & Similarity Metrics, Identification Of Clonally Related Cells","Python Library, Single-Cell Analysis, Immune Receptor Profiling",,,,Anvil: https://www.rcac.purdue.edu/software/scirpy,Anvil: 0.10.1,scirpy is a Python-based toolkit for single-cell immune receptor profiling analysis. It provides a comprehensive set of tools for the analysis of B cell and T cell receptor repertoires in single-cell RNA sequencing data.,
scnic,Faster,Data Analysis Tool,Python Library,Biological Sciences,,,,"Quality Control Of Single-Cell Datasets, Dimensionality Reduction Techniques, Clustering Algorithms, Visualization Tools For Single-Cell Data, Interpretation Of Single-Cell Data","Single-Cell Analysis, Data Visualization, Bioinformatics, Python Library",,,,Faster: https://hprc.tamu.edu/software/faster/,Faster: 0.6.3,"scnic is a Python package designed for the analysis, visualization, and interpretation of single-cell data.",
scons,"Aces, Darwin, Faster",Build Tool,Software Development,Engineering & Technology,,,"SCons is an Open Source software construction tool. Think of SCons as an improved, cross-platform substitute for the classic Make utility with integrated functionality similar to autoconf/automake and compiler caches such as ccache. In short, SCons is an easier, more reliable and faster way to build software. 
Description Source: https://scons.org/","Automated Build Scripts, Dependency Analysis, Parallel Builds, Cross-Platform Support, Extensibility Through Python Scripts","Build Tool, Software Construction, Automation, Python",https://www.scons.org/,https://scons.org/doc/production/HTML/scons-man.html,"https://scons.org/doc/production/HTML/scons-user/ 
https://scons.org/doc/production/HTML/scons-user/ch02.html 
https://github.com/SCons/scons/wiki/SconsTutorial1 
https://github.com/SCons/scons/wiki ","Aces: https://hprc.tamu.edu/software/aces/ 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 4.4.0
Faster: 4.2.0, 4.4.0",SCons is an open-source software construction tool implemented in Python. It is designed to replace traditional build tools like Make with a more powerful and flexible build system.,
score-p,Aces,Tool,Performance Measurement Infrastructure,Engineering & Technology,,,"The Score-P measurement infrastructure is a highly scalable and easy-to-use tool suite for profiling, event tracing, and online analysis of HPC applications.",1. Instrumentation and measurement of parallel and distributed applications. 2. Performance analysis and profiling capabilities. 3. Scalability analysis and tuning support. 4. Integration with different HPC tools and frameworks. 5. Trace-based performance analysis.,"Software, Performance Measurement, Parallel Computing, Distributed Computing",,,,Aces: https://hprc.tamu.edu/software/aces/,Aces: 8.3,"Score-P is a performance measurement infrastructure designed to analyze and optimize the performance of parallel and distributed applications. It provides a set of measurement and analysis tools to assess the performance, scalability, and behavior of parallel applications.",
scorep,Kyric,,,,,,"The Score-P measurement infrastructure is a highly scalable and easy-to-use tool suite for profiling, event tracing, and online analysis of HPC applications. Score-P supports analyzing C, C++ and Fortran applications that make use of multi processing (MPI, SHMEM), thread parallelism (OpenMP, PThreads) and accelerators (CUDA, OpenCL, OpenACC) and combinations. It works in combination with Periscope, Scalasca, Vampir, and Tau. 
Description Source: https://www.vi-hps.org/projects/score-p",,,https://www.vi-hps.org/projects/score-p,https://perftools.pages.jsc.fz-juelich.de/cicd/scorep/tags/latest/html/,"https://perftools.pages.jsc.fz-juelich.de/cicd/scorep/tags/latest/html/quickstart.html 
https://perftools.pages.jsc.fz-juelich.de/cicd/scorep/tags/latest/html/hello_world_8c-example.html 
https://perftools.pages.jsc.fz-juelich.de/cicd/scorep/tags/latest/html/print_regions_8c-example.html 
",,Kyric: 6.0,,
scotch,"Aces, Expanse, Faster",Library,Partitioning & Clustering,Computer & Information Sciences,High-Performance Computing (Hpc),"Software Engineering, Systems, & Development","SCOTCH is a software package and libraries for graph, mesh and hypergraph partitioning, static mapping, and sparse matrix block ordering. Its purpose of Scotch is to apply graph theory, with a divide and conquer approach, to scientific computing problems such as graph and mesh partitioning, static mapping, and sparse matrix ordering, in application domains ranging from structural mechanics to operating systems or bio-chemistry. The SCOTCH distribution is a set of programs and libraries which implement the static mapping and sparse matrix reordering algorithms developed within the SCOTCH project. 
Description Source: https://packages.gentoo.org/packages/sci-libs/scotch","Scotch provides high-quality partitioning and ordering methods for optimizing data distribution and minimizing communication overhead in parallel computing. It offers capabilities for partitioning both graphs and meshes, with algorithms that aim to balance workloads, minimize edge cuts, and optimize memory usage.","Graph Partitioning, Mesh Partitioning, Parallel Computing, Distributed Memory",https://www.labri.fr/perso/pelegrin/scotch/,https://gitlab.inria.fr/scotch/scotch/tree/master/doc,"https://hal.science/hal-00410327/document 
https://drops.dagstuhl.de/storage/16dagstuhl-seminar-proceedings/dsp-vol09061/DagSemProc.09061.9/DagSemProc.09061.9.pdf ","Aces: https://hprc.tamu.edu/software/aces/ 
Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 6.1.2, 7.0.1, 7.0.3
Expanse: Fekh6Xf, Lkjq2H6, ...
Faster: 6.0.9, 6.1.0, 6.1.2, 7.0.1, 7.0.3","Scotch is a software package and library for graph and mesh partitioning, ordering, and clustering. It is designed to efficiently distribute data and computations across distributed memory parallel computers.",
scvelo,Anvil,Analysis Tool,Python Library,Biological Sciences,Single-Cell Analysis,"Cell Biology, Genetics, Developmental Biology",Scvelo is a scalable toolkit for RNA velocity analysis in single cells.,1. Trajectory inference and visualization for single-cell genomics data. 2. Velocity estimation to determine the direction and speed of gene expression changes in individual cells. 3. Reconstruction of RNA velocity field to infer cell state transitions and developmental trajectories. 4. Tools for exploring and plotting RNA velocity dynamics in single-cell data.,"Single-Cell Genomics, Dynamical Systems, Bioinformatics, Computational Biology",,,,Anvil: https://www.rcac.purdue.edu/software/scvelo,Anvil: 0.2.4,scvelo is a Python package for the analysis and interpretation of dynamical systems measured in single-cell genomics data. It provides a toolkit for studying and understanding the dynamical nature of cell differentiation processes.,
scvi-tools,Anvil,Python Library,Data Analysis Tool,Biological Sciences,Single-Cell RNA-Seq Data Analysis,Bioinformatics,scvi-tools (single-cell variational inference tools) is a package for end-to-end analysis of single-cell omics data primarily developed and maintained by the Yosef Lab at UC Berkeley.,"Deep Probabilistic Modeling, Batch Effect Correction, Clustering, Differential Expression Analysis, Visualization Tools","Single-Cell RNA-Seq, Data Analysis, Genomics, Bioinformatics",,,,Anvil: https://www.rcac.purdue.edu/software/scvi-tools,Anvil: 0.16.2,"scvi-tools is a comprehensive toolbox for deep probabilistic modeling, batch effect correction, clustering, differential expression, and visualization in single-cell RNA-seq data analysis. It provides a flexible and scalable framework for integrating multiple data modalities and capturing uncertainty in high-dimensional genomics data.",
sdl,"Aces, Faster",,,Engineering & Technology,,,"SDL: Simple DirectMedia Layer, a cross-platform multimedia library","Cross-platform support, low-level access to audio, graphics, and input devices, hardware acceleration, support for OpenGL and Direct3D, easy to use API for multimedia applications, used in a wide range of software and games.","Development, Game Development, Multimedia, Library",,,,"Aces: https://hprc.tamu.edu/software/aces/ 
Faster: https://hprc.tamu.edu/software/faster/",,"Simple DirectMedia Layer is a cross-platform development library designed to provide low-level access to audio, keyboard, mouse, joystick, and graphics hardware via OpenGL and Direct3D. It is used by video playback software, emulators, and popular games including Stardew Valley, Undertale, and more.",
sdl2,"Aces, Faster",Development,Library,Engineering & Technology,,,"Simple DirectMedia Layer is a cross-platform development library designed to provide low level access to audio, keyboard, mouse, joystick, and graphics hardware via OpenGL and Direct3D. 
Description Source: https://www.libsdl.org/","Cross-Platform Support, Low-Level Access To Audio, Keyboard, Mouse, Joystick, & Graphics Hardware, Hardware-Accelerated 2D Graphics Rendering","Development, Multimedia, Graphics, Input-Output",https://www.libsdl.org/,https://wiki.libsdl.org/SDL2/,"https://wiki.libsdl.org/SDL2/Introduction 
https://wiki.libsdl.org/SDL2/Tutorials 
https://wiki.libsdl.org/SDL2/FAQs ","Aces: https://hprc.tamu.edu/software/aces/ 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 2.0.20, 2.0.22, 2.26.3, 2.28.2
Faster: 2.0.10, 2.0.14, 2.0.20, 2.0.22, 2.26.2, 2.26.3, 2.28.2","Simple DirectMedia Layer is a cross-platform development library designed to provide low level access to audio, keyboard, mouse, joystick, and graphics hardware via OpenGL and Direct3D. It is used by video playback software, emulators, and popular games including Valve's Steam.",
sdsc,Expanse,,,"Computer & Information Sciences, Other Computer & Information Sciences, Engineering & Technology, Other Engineering & Technologies, Training, Infrastructure & Instrumentation",,,,"High-Performance Computing Resources, Data Storage Solutions, Software Tools, Consulting Services, Training Programs","Supercomputing, Research Support, Data Analytics, Cyberinfrastructure",,,,Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules,Expanse: 1.0,"SDSC (San Diego Supercomputer Center) is an organized research unit of the University of California, San Diego that provides cyberinfrastructure resources and services to researchers in the fields of computational science, data analytics, bioinformatics, and more. SDSC supports a wide range of scientific disciplines by offering high-performance computing resources, data storage solutions, software tools, consulting services, and training programs.",
seaborn,Faster,Library,Visualization,Computer & Information Sciences,,,,"1. Built-in themes for styling matplotlib graphics
2. Visualizing univariate and bivariate data
3. Plotting linear regression models
4. Plotting statistical summaries
5. Flexible and customizable plots","Python Library, Data Visualization, Statistical Graphics",,,,Faster: https://hprc.tamu.edu/software/faster/,Faster: 0.11.2,Seaborn is a Python data visualization library based on matplotlib. It provides a high-level interface for creating attractive and informative statistical graphics.,
segalign,Anvil,Alignment Tool,Bioinformatics & Computational Biology,Biological Sciences,Genetics,Bioinformatics,Segalign is a scalable GPU system for pairwise whole genome alignments based on LASTZ's seed-filter-extend paradigm.,"1. Alignment of biological sequences
2. Comparison of multiple sequences
3. Visualization of sequence alignments
4. Editing capabilities for alignments","Alignment, Comparison, Visualization, Biological Sequences",,,,Anvil: https://www.rcac.purdue.edu/software/segalign,Anvil: 0.1.2,"SegAlign is a software tool for alignment, comparison, and visualization of biological sequences with flexible editing capabilities.",
segmentation-models,Faster,Library,Machine Learning,Computer & Information Sciences,,,,"Provides Pre-Trained Segmentation Models, Modular Api For Building Custom Segmentation Models, Supports Various Backbones Such As Resnet, Mobilenet, Efficientnet, Offers Easy Model Deployment In Keras & Tensorflow","Semantic Segmentation, Deep Learning, Computer Vision, Image Processing",,,,Faster: https://hprc.tamu.edu/software/faster/,Faster: 1.0.1-Python-3.7.4,"Segmentation Models is an open-source library for semantic segmentation models that provides pre-trained models, scripts, and modular API for building custom segmentation models.",
seidr,Anvil,Bioinformatics Tool,Genomic Analysis Tool,Biological Sciences,Population Genetics,Genomics,Seidr is community gene network inference and exploration toolkit.,"Estimation Of Relatedness Coefficients, Estimation Of Inbreeding Coefficients, Support For Large-Scale Genomic Data, Efficient & Scalable Algorithms","Genomics, Relatedness, Inbreeding, Computational Biology",,,,Anvil: https://www.rcac.purdue.edu/software/seidr,Anvil: 0.14.2,Seidr is a software package designed for the efficient and scalable estimation of relatedness and inbreeding coefficients from large-scale genomic data.,
sentencepiece,Aces,Library/Tool,Text Processing & Nlp,Computer & Information Sciences,,,"SentencePiece is an unsupervised text tokenizer and detokenizer mainly for Neural Network-based text generation systems where the vocabulary size is predetermined prior to the neural model training. SentencePiece implements subword units (e.g., byte-pair-encoding (BPE) [Sennrich et al.]) and unigram language model [Kudo.]) with the extension of direct training from raw sentences. 
Description Source: https://github.com/google/sentencepiece","SentencePiece allows for effective tokenization and detokenization of text data, with the ability to encode/decode text to/from input sequences. It is designed for use in Neural Network-based text generation systems to optimize vocabulary size and model performance. SentencePiece supports various tokenization strategies such as unigram language model, BPE (Byte Pair Encoding), WordPiece, and more. It also offers subword regularization and reversible tokenization.","Text Tokenizer, Neural Network, Text Generation",https://github.com/google/sentencepiece,https://github.com/google/sentencepiece/tree/master/doc,"https://github.com/google/sentencepiece#usage 
https://github.com/google/sentencepiece#end-to-end-example 
https://github.com/google/sentencepiece/blob/master/doc/experiments.md ",Aces: https://hprc.tamu.edu/software/aces/,Aces: 0.1.97,SentencePiece is an unsupervised text tokenizer and detokenizer mainly for Neural Network-based text generation systems where the vocabulary size greatly affects the model performance.,
sepp,"Anvil, Faster",Bioinformatics Tool,Alignment Tool,Biological Sciences,Phylogenetics,Bioinformatics,Sepp stands for SATé-Enabled Phylogenetic Placement and addresses the problem of phylogenetic placement for meta-genomic short reads.,"Phylogenetic Placement Of Short DNA Reads, Reference Alignment-Based Alignment Method, Efficient & Accurate Placement Algorithm","Phylogenetics, DNA Alignment, Phylogenetic Placement",,,,"Anvil: https://www.rcac.purdue.edu/software/sepp 
Faster: https://hprc.tamu.edu/software/faster/","Anvil: 4.5.1
Faster: 4.5.1",SEPP (Satz per Partial Parsimony) is a software tool for aligning short DNA reads to a reference alignment in phylogenetic studies. It employs a phylogenetic placement strategy to assign reads to the reference tree in a computationally efficient manner.,
seqcode,Anvil,Genomics Analysis Tool,Biological Research Tool,Biological Sciences,Comparative Genomics,Genomics,SeqCode is a family of applications designed to develop high-quality images and perform genome-wide calculations from high-throughput sequencing experiments.,"Identification Of Coding Sequences In Prokaryotic Genomes, Utilizes Comparative Genomics Methods, Accurate Prediction Of Protein-Coding Genes, Detection Of Functional Elements","Genomics, Prokaryotic Genomes, Coding Sequences, Comparative Genomics, Gene Prediction",,,,Anvil: https://www.rcac.purdue.edu/software/seqcode,Anvil: 1.0,SeqCode is a software tool designed for identifying coding sequences in prokaryotic genomes using a comparative genomics approach. It helps in accurately predicting protein-coding genes and functional elements.,
